dataset,model,accuracy,precision,recall,f1_score,tn,fp,fn,tp
diabetes,kNN,0.8442,0.8,0.7407,0.7692,90,10,14,40
diabetes,Random Forest,0.8571,0.7963,0.7963,0.7963,89,11,11,43
diabetes,Logistic Regression,0.7532,0.6481,0.6481,0.6481,81,19,19,35
diabetes,MLP Arkitektura 1,0.7468,0.6744,0.537,0.5979,86,14,25,29
diabetes,MLP Arkitektura 2,0.8312,0.7414,0.7963,0.7679,85,15,11,43
heart,kNN,0.8525,0.8158,0.9394,0.8732,21,7,2,31
heart,Random Forest,0.8361,0.7805,0.9697,0.8649,19,9,1,32
heart,Logistic Regression,0.8197,0.775,0.9394,0.8493,19,9,2,31
heart,MLP Arkitektura 1,0.623,0.8571,0.3636,0.5106,26,2,21,12
heart,MLP Arkitektura 2,0.8197,0.7895,0.9091,0.8451,20,8,3,30
